Title,IMDb,imdb
Breaking Bad,8.8,88
Stranger Things,8.7,87
Attack on Titan,8.5,85
Better Call Saul,8.5,85
Dark,8.8,88
Avatar: The Last Airbender,8.4,84
Peaky Blinders,8.5,85
The Walking Dead,8.4,84
Black Mirror,8.4,84
The Queen's Gambit,8.3,83
Mindhunter,8.3,83
Community,8.4,84
Narcos,8.2,82
Shameless,8.1,81
Money Heist,8.2,82
Marvel's Daredevil,8.5,85
Lucifer,8.2,82
Supernatural,8,80
The Witcher,8,80
Ozark,8,80
The Crown,8.2,82
Cobra Kai,7.7,77
The Blacklist,8,80
The Flash,8,80
Outlander,8.1,81
Fullmetal Alchemist: Brotherhood,7.7,77
The Good Place,7.7,77
House of Cards,7.9,79
Atypical,7.9,79
Grey's Anatomy,7.9,79
Arrested Development,8,80
Lupin,7.8,78
The Umbrella Academy,7.5,75
Orange Is the New Black,7.6,76
The Vampire Diaries,8.4,84
Demon Slayer: Kimetsu no Yaiba,8.2,82
The Last Dance,7.6,76
American Horror Story,7.9,79
Elite,8.4,84
BoJack Horseman,7.8,78
Star Trek: The Next Generation,7.6,76
Broadchurch,7.6,76
The IT Crowd,8,80
When They See Us,8,80
"Love, Death & Robots",7.6,76
Schitt's Creek,7.7,77
Marvel's Agents of S.H.I.E.L.D.,8,80
Never Have I Ever,8.5,85
The 100,7.5,75
American Crime Story,8,80
The Last Kingdom,7.8,78
The End of the F***ing World,7.9,79
New Girl,7.4,74
Penny Dreadful,7.8,78
One Piece,7.8,78
Marvel's The Punisher,7.8,78
Evil,7.8,78
YOU,8.2,82
Sense8,7.1,71
Making a Murderer,7.5,75
Unbelievable,7.1,71
Arrow,7.7,77
Sex Education,7.4,74
Marvel's Jessica Jones,8.2,82
Sweet Tooth,7.7,77
Good Girls,7.2,72
Death Note,7.4,74
Gilmore Girls,8.1,81
The Legend of Korra,7.4,74
How to Get Away with Murder,8.1,81
Master of None,8.1,81
Chappelle's Show,7.6,76
One-Punch Man,7.5,75
Downton Abbey,7.8,78
Gotham,7.7,77
Pose,7.7,77
Bodyguard,7.6,76
Altered Carbon,7.6,76
Ash vs Evil Dead,7.4,74
The Sinner,7.3,73
Our Planet,7.7,77
Narcos: Mexico,8.1,81
Shadow and Bone,7.5,75
Castlevania,7.2,72
Star Trek,7.6,76
The Kominsky Method,7.7,77
