company,percent
BreakingBad,8.8
Dark,8.4
Mindhunter,8.3
House of Cards,7.9
Arrested Development,8
One Piece,7.8
Unbelievable,7.1
Master of None,8.1
Gotham,7.7
Bodyguard,7.6
The Promised Neverland,7.8
iZombie,7.2
All American,7.8
Dark Matter,7.4
Bodyguard,7.6
Altered Carbon,7.6
Ash vs Evil Dead,7.4
The Sinner,7.3
Our Planet,7.7
Narcos: Mexico,8.1
Shadow and Bone,7.5
Castlevania,7.2
Star Trek,7.6
The Kominsky Method,7.7
Hunter x Hunter,7.6
Dead to Me,8.2,82
The Haunting of Hill House,8.1
Russian Doll,8.1
Kingdom,7.3
Neon Genesis Evangelion,7.3
Naruto,7
NCIS,7.3
Manifest,7.7
Halt and Catch Fire,7.5
Monty Python's Flying Circus,7.9
After Life,7.9
Riverdale,7.3
Big Mouth,7.3
I Think You Should Leave with Tim Robinson,7.2
Derry Girls,7.2
The Promised Neverland,7.8
Lost in Space,7.8
Star Trek: Deep Space Nine,7.1
Jane the Virgin,7.4
Godless,7.5
The OA,7.7
DC's Legends of Tomorrow,7.1
Sacred Games,8.2
iZombie,7.2
